spellId,spellName,dest,t,subevent,token,mapped_token,mapped_source
382889,Flurry,Wickedstorm,296336.713,SPELL_AURA_APPLIED,spell:382889,spell:382889,already_token
262652,Forceful Winds,Wickedstorm,296336.713,SPELL_AURA_APPLIED,spell:262652,spell:262652,already_token
17364,Stormstrike,Training Dummy,296336.713,SPELL_CAST_SUCCESS,spell:17364,spell:17364,already_token
470466,Stormblast,Wickedstorm,296335.046,SPELL_AURA_APPLIED,spell:470466,spell:470466,already_token
201846,Stormsurge,Wickedstorm,296335.046,SPELL_AURA_APPLIED,spell:201846,spell:201846,already_token
344179,Maelstrom Weapon,Wickedstorm,296335.046,SPELL_AURA_APPLIED,spell:344179,spell:344179,already_token
17364,Stormstrike,Training Dummy,296335.046,SPELL_CAST_SUCCESS,spell:17364,spell:17364,already_token
197209,Lightning Rod,Training Dummy,296333.763,SPELL_AURA_APPLIED,spell:197209,spell:197209,already_token
454025,Electroshock,Wickedstorm,296333.663,SPELL_AURA_APPLIED,spell:454025,spell:454025,already_token
384451,Legacy of the Frost Witch,Wickedstorm,296333.663,SPELL_AURA_APPLIED,spell:384451,spell:384451,already_token
452201,Tempest,Training Dummy,296333.663,SPELL_CAST_SUCCESS,spell:452201,spell:452201,already_token
470532,Arc Discharge,Wickedstorm,296333.663,SPELL_AURA_APPLIED,spell:470532,spell:470532,already_token
455089,Storm Swell,Wickedstorm,296333.663,SPELL_AURA_APPLIED,spell:455089,spell:455089,already_token
470466,Stormblast,Wickedstorm,296333.547,SPELL_AURA_APPLIED,spell:470466,spell:470466,already_token
201846,Stormsurge,Wickedstorm,296333.547,SPELL_AURA_APPLIED,spell:201846,spell:201846,already_token
462131,Awakening Storms,Wickedstorm,296332.08,SPELL_AURA_APPLIED,spell:462131,spell:462131,already_token
17364,Stormstrike,Training Dummy,296332.08,SPELL_CAST_SUCCESS,spell:17364,spell:17364,already_token
187874,Crash Lightning,,296330.713,SPELL_CAST_SUCCESS,spell:187874,spell:187874,already_token
470466,Stormblast,Wickedstorm,296329.663,SPELL_AURA_APPLIED,spell:470466,spell:470466,already_token
201846,Stormsurge,Wickedstorm,296329.663,SPELL_AURA_APPLIED,spell:201846,spell:201846,already_token
17364,Stormstrike,Training Dummy,296329.263,SPELL_CAST_SUCCESS,spell:17364,spell:17364,already_token
17364,Stormstrike,Training Dummy,296327.98,SPELL_CAST_SUCCESS,spell:17364,spell:17364,already_token
382889,Flurry,Wickedstorm,296327.863,SPELL_AURA_APPLIED,spell:382889,spell:382889,already_token
469270,Doom Winds,,296327.48,SPELL_CAST_SUCCESS,spell:469270,spell:469270,already_token
33697,Blood Fury,,296326.713,SPELL_CAST_SUCCESS,spell:33697,spell:33697,already_token
33697,Blood Fury,Wickedstorm,296326.713,SPELL_AURA_APPLIED,spell:33697,spell:33697,already_token
344179,Maelstrom Weapon,Wickedstorm,296326.563,SPELL_AURA_APPLIED,spell:344179,spell:344179,already_token
469270,Doom Winds,,296326.463,SPELL_CAST_SUCCESS,spell:469270,spell:469270,already_token
454015,Tempest,Wickedstorm,296325.563,SPELL_AURA_APPLIED,spell:454015,spell:454015,already_token
469270,Doom Winds,,296325.413,SPELL_CAST_SUCCESS,spell:469270,spell:469270,already_token
334196,Hailstorm,Wickedstorm,296325.313,SPELL_AURA_APPLIED,spell:334196,spell:334196,already_token
454015,Tempest,Wickedstorm,296325.313,SPELL_AURA_APPLIED,spell:454015,spell:454015,already_token
466469,Ice Strike,Wickedstorm,296325.213,SPELL_AURA_APPLIED,spell:466469,spell:466469,already_token
454394,Unlimited Power,Wickedstorm,296325.213,SPELL_AURA_APPLIED,spell:454394,spell:454394,already_token
188196,Lightning Bolt,Training Dummy,296325.213,SPELL_CAST_SUCCESS,spell:188196,spell:188196,already_token
469270,Doom Winds,,296324.413,SPELL_CAST_SUCCESS,spell:469270,spell:469270,already_token
344179,Maelstrom Weapon,Wickedstorm,296323.947,SPELL_AURA_APPLIED,spell:344179,spell:344179,already_token
454025,Electroshock,Wickedstorm,296323.847,SPELL_AURA_APPLIED,spell:454025,spell:454025,already_token
384451,Legacy of the Frost Witch,Wickedstorm,296323.847,SPELL_AURA_APPLIED,spell:384451,spell:384451,already_token
452201,Tempest,Training Dummy,296323.847,SPELL_CAST_SUCCESS,spell:452201,spell:452201,already_token
470532,Arc Discharge,Wickedstorm,296323.847,SPELL_AURA_APPLIED,spell:470532,spell:470532,already_token
455089,Storm Swell,Wickedstorm,296323.847,SPELL_AURA_APPLIED,spell:455089,spell:455089,already_token
469270,Doom Winds,,296323.463,SPELL_CAST_SUCCESS,spell:469270,spell:469270,already_token
470466,Stormblast,Wickedstorm,296322.93,SPELL_AURA_APPLIED,spell:470466,spell:470466,already_token
201846,Stormsurge,Wickedstorm,296322.93,SPELL_AURA_APPLIED,spell:201846,spell:201846,already_token
17364,Stormstrike,Training Dummy,296322.713,SPELL_CAST_SUCCESS,spell:17364,spell:17364,already_token
469270,Doom Winds,,296322.463,SPELL_CAST_SUCCESS,spell:469270,spell:469270,already_token
470466,Stormblast,Wickedstorm,296321.547,SPELL_AURA_APPLIED,spell:470466,spell:470466,already_token
201846,Stormsurge,Wickedstorm,296321.547,SPELL_AURA_APPLIED,spell:201846,spell:201846,already_token
17364,Stormstrike,Training Dummy,296321.547,SPELL_CAST_SUCCESS,spell:17364,spell:17364,already_token
469270,Doom Winds,,296321.447,SPELL_CAST_SUCCESS,spell:469270,spell:469270,already_token
454015,Tempest,Wickedstorm,296321.013,SPELL_AURA_APPLIED,spell:454015,spell:454015,already_token
382889,Flurry,Wickedstorm,296320.53,SPELL_AURA_APPLIED,spell:382889,spell:382889,already_token
17364,Stormstrike,Training Dummy,296320.43,SPELL_CAST_SUCCESS,spell:17364,spell:17364,already_token
469270,Doom Winds,,296320.43,SPELL_CAST_SUCCESS,spell:469270,spell:469270,already_token
262652,Forceful Winds,Wickedstorm,296319.547,SPELL_AURA_APPLIED,spell:262652,spell:262652,already_token
466772,Doom Winds,Wickedstorm,296319.447,SPELL_AURA_APPLIED,spell:466772,spell:466772,already_token
384352,Doom Winds,,296319.447,SPELL_CAST_SUCCESS,spell:384352,spell:384352,already_token
382889,Flurry,Wickedstorm,296318.763,SPELL_AURA_APPLIED,spell:382889,spell:382889,already_token
345228,Gladiator's Badge,,296318.646,SPELL_CAST_SUCCESS,spell:345228,spell:345228,already_token
345228,Gladiator's Badge,Wickedstorm,296318.646,SPELL_AURA_APPLIED,spell:345228,spell:345228,already_token
344179,Maelstrom Weapon,Wickedstorm,296318.23,SPELL_AURA_APPLIED,spell:344179,spell:344179,already_token
188196,Lightning Bolt,Training Dummy,296317.947,SPELL_CAST_SUCCESS,spell:188196,spell:188196,already_token
188196,Lightning Bolt,,296316.58,SPELL_CAST_START,spell:188196,spell:188196,already_token
188196,Lightning Bolt,Training Dummy,296315.38,SPELL_CAST_SUCCESS,spell:188196,spell:188196,already_token
382889,Flurry,Wickedstorm,296314.914,SPELL_AURA_APPLIED,spell:382889,spell:382889,already_token
188196,Lightning Bolt,,296314.78,SPELL_CAST_START,spell:188196,spell:188196,already_token
204361,Bloodlust,Wickedstorm,296313.93,SPELL_CAST_SUCCESS,spell:204361,spell:204361,already_token
204361,Bloodlust,Wickedstorm,296313.93,SPELL_AURA_APPLIED,spell:204361,spell:204361,already_token
