spellId,spellName,dest,t,subevent,token
470466,Stormblast,Wickedstorm,283557.363,SPELL_AURA_APPLIED,spell:470466
201846,Stormsurge,Wickedstorm,283557.363,SPELL_AURA_APPLIED,spell:201846
17364,Stormstrike,PvP Training Dummy,283556.579,SPELL_CAST_SUCCESS,spell:17364
17364,Stormstrike,PvP Training Dummy,283555.413,SPELL_CAST_SUCCESS,spell:17364
334196,Hailstorm,Wickedstorm,283553.663,SPELL_AURA_APPLIED,spell:334196
342240,Ice Strike,PvP Training Dummy,283553.562,SPELL_AURA_APPLIED,spell:342240
342240,Ice Strike,PvP Training Dummy,283553.562,SPELL_CAST_SUCCESS,spell:342240
384357,Ice Strike,Wickedstorm,283553.562,SPELL_AURA_APPLIED,spell:384357
344179,Maelstrom Weapon,Wickedstorm,283553.562,SPELL_AURA_APPLIED,spell:344179
454394,Unlimited Power,Wickedstorm,283552.112,SPELL_AURA_APPLIED,spell:454394
188196,Lightning Bolt,PvP Training Dummy,283552.112,SPELL_CAST_SUCCESS,spell:188196
187874,Crash Lightning,,283550.813,SPELL_CAST_SUCCESS,spell:187874
17364,Stormstrike,PvP Training Dummy,283549.429,SPELL_CAST_SUCCESS,spell:17364
382889,Flurry,Wickedstorm,283549.013,SPELL_AURA_APPLIED,spell:382889
344179,Maelstrom Weapon,Wickedstorm,283548.196,SPELL_AURA_APPLIED,spell:344179
17364,Stormstrike,PvP Training Dummy,283548.196,SPELL_CAST_SUCCESS,spell:17364
334196,Hailstorm,Wickedstorm,283546.963,SPELL_AURA_APPLIED,spell:334196
454025,Electroshock,Wickedstorm,283546.863,SPELL_AURA_APPLIED,spell:454025
466469,Ice Strike,Wickedstorm,283546.863,SPELL_AURA_APPLIED,spell:466469
334196,Hailstorm,Wickedstorm,283546.863,SPELL_AURA_APPLIED,spell:334196
452201,Tempest,PvP Training Dummy,283546.863,SPELL_CAST_SUCCESS,spell:452201
470532,Arc Discharge,Wickedstorm,283546.863,SPELL_AURA_APPLIED,spell:470532
455089,Storm Swell,Wickedstorm,283546.863,SPELL_AURA_APPLIED,spell:455089
196840,Frost Shock,PvP Training Dummy,283545.546,SPELL_AURA_APPLIED,spell:196840
196840,Frost Shock,PvP Training Dummy,283545.446,SPELL_CAST_SUCCESS,spell:196840
382889,Flurry,Wickedstorm,283544.646,SPELL_AURA_APPLIED,spell:382889
187874,Crash Lightning,,283543.896,SPELL_CAST_SUCCESS,spell:187874
262652,Forceful Winds,Wickedstorm,283542.413,SPELL_AURA_APPLIED,spell:262652
17364,Stormstrike,PvP Training Dummy,283542.413,SPELL_CAST_SUCCESS,spell:17364
382889,Flurry,Wickedstorm,283541.696,SPELL_AURA_APPLIED,spell:382889
448730,Authority of Radiant Power,Wickedstorm,283541.696,SPELL_AURA_APPLIED,spell:448730
344179,Maelstrom Weapon,Wickedstorm,283541.28,SPELL_AURA_APPLIED,spell:344179
17364,Stormstrike,PvP Training Dummy,283541.179,SPELL_CAST_SUCCESS,spell:17364
454015,Tempest,Wickedstorm,283540.196,SPELL_AURA_APPLIED,spell:454015
188196,Lightning Bolt,PvP Training Dummy,283540.096,SPELL_CAST_SUCCESS,spell:188196
470466,Stormblast,Wickedstorm,283539.063,SPELL_AURA_APPLIED,spell:470466
201846,Stormsurge,Wickedstorm,283539.063,SPELL_AURA_APPLIED,spell:201846
115356,Windstrike,PvP Training Dummy,283538.763,SPELL_CAST_SUCCESS,spell:115356
188196,Lightning Bolt,PvP Training Dummy,283538.763,SPELL_CAST_SUCCESS,spell:188196
51533,Feral Spirit,PvP Training Dummy,283537.562,SPELL_CAST_SUCCESS,spell:51533
115356,Windstrike,PvP Training Dummy,283536.178,SPELL_CAST_SUCCESS,spell:115356
188196,Lightning Bolt,PvP Training Dummy,283536.178,SPELL_CAST_SUCCESS,spell:188196
115356,Windstrike,PvP Training Dummy,283534.912,SPELL_CAST_SUCCESS,spell:115356
188196,Lightning Bolt,PvP Training Dummy,283534.912,SPELL_CAST_SUCCESS,spell:188196
115356,Windstrike,PvP Training Dummy,283533.696,SPELL_CAST_SUCCESS,spell:115356
188196,Lightning Bolt,PvP Training Dummy,283533.696,SPELL_CAST_SUCCESS,spell:188196
454025,Electroshock,Wickedstorm,283532.446,SPELL_AURA_APPLIED,spell:454025
344179,Maelstrom Weapon,Wickedstorm,283532.446,SPELL_AURA_APPLIED,spell:344179
115356,Windstrike,PvP Training Dummy,283532.446,SPELL_CAST_SUCCESS,spell:115356
454394,Unlimited Power,Wickedstorm,283532.446,SPELL_AURA_APPLIED,spell:454394
452201,Tempest,PvP Training Dummy,283532.446,SPELL_CAST_SUCCESS,spell:452201
470532,Arc Discharge,Wickedstorm,283532.446,SPELL_AURA_APPLIED,spell:470532
455089,Storm Swell,Wickedstorm,283532.446,SPELL_AURA_APPLIED,spell:455089
454015,Tempest,Wickedstorm,283531.329,SPELL_AURA_APPLIED,spell:454015
115356,Windstrike,PvP Training Dummy,283531.229,SPELL_CAST_SUCCESS,spell:115356
188196,Lightning Bolt,PvP Training Dummy,283531.229,SPELL_CAST_SUCCESS,spell:188196
469270,Doom Winds,,283530.496,SPELL_CAST_SUCCESS,spell:469270
201846,Stormsurge,Wickedstorm,283530.162,SPELL_AURA_APPLIED,spell:201846
115356,Windstrike,PvP Training Dummy,283530.046,SPELL_CAST_SUCCESS,spell:115356
188196,Lightning Bolt,PvP Training Dummy,283530.046,SPELL_CAST_SUCCESS,spell:188196
470466,Stormblast,Wickedstorm,283529.362,SPELL_AURA_APPLIED,spell:470466
469270,Doom Winds,,283529.362,SPELL_CAST_SUCCESS,spell:469270
201846,Stormsurge,Wickedstorm,283529.362,SPELL_AURA_APPLIED,spell:201846
115356,Windstrike,PvP Training Dummy,283529.062,SPELL_CAST_SUCCESS,spell:115356
188196,Lightning Bolt,PvP Training Dummy,283529.062,SPELL_CAST_SUCCESS,spell:188196
469270,Doom Winds,,283528.313,SPELL_CAST_SUCCESS,spell:469270
115356,Windstrike,PvP Training Dummy,283527.863,SPELL_CAST_SUCCESS,spell:115356
188196,Lightning Bolt,PvP Training Dummy,283527.863,SPELL_CAST_SUCCESS,spell:188196
469270,Doom Winds,,283527.313,SPELL_CAST_SUCCESS,spell:469270
470466,Stormblast,Wickedstorm,283526.696,SPELL_AURA_APPLIED,spell:470466
201846,Stormsurge,Wickedstorm,283526.696,SPELL_AURA_APPLIED,spell:201846
344179,Maelstrom Weapon,Wickedstorm,283526.596,SPELL_AURA_APPLIED,spell:344179
115356,Windstrike,PvP Training Dummy,283526.596,SPELL_CAST_SUCCESS,spell:115356
188196,Lightning Bolt,PvP Training Dummy,283526.596,SPELL_CAST_SUCCESS,spell:188196
469270,Doom Winds,,283526.28,SPELL_CAST_SUCCESS,spell:469270
334196,Hailstorm,Wickedstorm,283525.663,SPELL_AURA_APPLIED,spell:334196
262652,Forceful Winds,Wickedstorm,283525.663,SPELL_AURA_APPLIED,spell:262652
344179,Maelstrom Weapon,Wickedstorm,283525.563,SPELL_AURA_APPLIED,spell:344179
115356,Windstrike,PvP Training Dummy,283525.563,SPELL_CAST_SUCCESS,spell:115356
466469,Ice Strike,Wickedstorm,283525.563,SPELL_AURA_APPLIED,spell:466469
452201,Tempest,PvP Training Dummy,283525.563,SPELL_CAST_SUCCESS,spell:452201
469270,Doom Winds,,283525.363,SPELL_CAST_SUCCESS,spell:469270
382889,Flurry,Wickedstorm,283525.063,SPELL_AURA_APPLIED,spell:382889
454015,Tempest,Wickedstorm,283524.48,SPELL_AURA_APPLIED,spell:454015
1239315,Storm's Eye,Wickedstorm,283524.48,SPELL_AURA_APPLIED,spell:1239315
114051,Ascendance,,283524.48,SPELL_CAST_SUCCESS,spell:114051
114051,Ascendance,Wickedstorm,283524.48,SPELL_AURA_APPLIED,spell:114051
344179,Maelstrom Weapon,Wickedstorm,283524.38,SPELL_AURA_APPLIED,spell:344179
469270,Doom Winds,,283524.38,SPELL_CAST_SUCCESS,spell:469270
454376,Surging Currents,Wickedstorm,283523.813,SPELL_AURA_APPLIED,spell:454376
454025,Electroshock,Wickedstorm,283523.697,SPELL_AURA_APPLIED,spell:454025
452201,Tempest,PvP Training Dummy,283523.697,SPELL_CAST_SUCCESS,spell:452201
470532,Arc Discharge,Wickedstorm,283523.697,SPELL_AURA_APPLIED,spell:470532
455089,Storm Swell,Wickedstorm,283523.697,SPELL_AURA_APPLIED,spell:455089
452201,Tempest,,283523.38,SPELL_CAST_START,spell:452201
469270,Doom Winds,,283523.38,SPELL_CAST_SUCCESS,spell:469270
466772,Doom Winds,Wickedstorm,283522.347,SPELL_AURA_APPLIED,spell:466772
384352,Doom Winds,,283522.347,SPELL_CAST_SUCCESS,spell:384352
33697,Blood Fury,,283521.247,SPELL_CAST_SUCCESS,spell:33697
33697,Blood Fury,Wickedstorm,283521.247,SPELL_AURA_APPLIED,spell:33697
204361,Bloodlust,Simbadagodd-Azshara,283519.747,SPELL_AURA_APPLIED,spell:204361
204361,Bloodlust,Wickedstorm,283519.747,SPELL_CAST_SUCCESS,spell:204361
204361,Bloodlust,Wickedstorm,283519.747,SPELL_AURA_APPLIED,spell:204361
51533,Feral Spirit,PvP Training Dummy,283518.38,SPELL_CAST_SUCCESS,spell:51533
344179,Maelstrom Weapon,Wickedstorm,283518.38,SPELL_AURA_APPLIED,spell:344179
333957,Feral Spirit,Wickedstorm,283518.38,SPELL_AURA_APPLIED,spell:333957
197209,Lightning Rod,PvP Training Dummy,283517.047,SPELL_AURA_APPLIED,spell:197209
454015,Tempest,Wickedstorm,283516.947,SPELL_AURA_APPLIED,spell:454015
384451,Legacy of the Frost Witch,Wickedstorm,283516.847,SPELL_AURA_APPLIED,spell:384451
334196,Hailstorm,Wickedstorm,283516.847,SPELL_AURA_APPLIED,spell:334196
454394,Unlimited Power,Wickedstorm,283516.847,SPELL_AURA_APPLIED,spell:454394
188196,Lightning Bolt,PvP Training Dummy,283516.847,SPELL_CAST_SUCCESS,spell:188196
470466,Stormblast,Wickedstorm,283515.697,SPELL_AURA_APPLIED,spell:470466
201846,Stormsurge,Wickedstorm,283515.697,SPELL_AURA_APPLIED,spell:201846
17364,Stormstrike,PvP Training Dummy,283515.597,SPELL_CAST_SUCCESS,spell:17364
470466,Stormblast,Wickedstorm,283514.463,SPELL_AURA_APPLIED,spell:470466
201846,Stormsurge,Wickedstorm,283514.363,SPELL_AURA_APPLIED,spell:201846
462131,Awakening Storms,Wickedstorm,283514.363,SPELL_AURA_APPLIED,spell:462131
17364,Stormstrike,PvP Training Dummy,283514.363,SPELL_CAST_SUCCESS,spell:17364
470466,Stormblast,Wickedstorm,283513.13,SPELL_AURA_APPLIED,spell:470466
201846,Stormsurge,Wickedstorm,283513.13,SPELL_AURA_APPLIED,spell:201846
382889,Flurry,Wickedstorm,283513.13,SPELL_AURA_APPLIED,spell:382889
17364,Stormstrike,PvP Training Dummy,283513.13,SPELL_CAST_SUCCESS,spell:17364
188389,Flame Shock,PvP Training Dummy,283511.83,SPELL_AURA_APPLIED,spell:188389
470411,Flame Shock,PvP Training Dummy,283511.83,SPELL_CAST_SUCCESS,spell:470411
188389,Flame Shock,PvP Training Dummy,283511.83,SPELL_CAST_SUCCESS,spell:188389
344179,Maelstrom Weapon,Wickedstorm,283510.43,SPELL_AURA_APPLIED,spell:344179
470466,Stormblast,Wickedstorm,283510.097,SPELL_AURA_APPLIED,spell:470466
201846,Stormsurge,Wickedstorm,283510.097,SPELL_AURA_APPLIED,spell:201846
262652,Forceful Winds,Wickedstorm,283509.997,SPELL_AURA_APPLIED,spell:262652
345228,Gladiator's Badge,,283508.263,SPELL_CAST_SUCCESS,spell:345228
345228,Gladiator's Badge,Wickedstorm,283508.263,SPELL_AURA_APPLIED,spell:345228
974,Earth Shield,Wickedstorm,283490.781,SPELL_CAST_SUCCESS,spell:974
383648,Earth Shield,Wickedstorm,283490.781,SPELL_AURA_APPLIED,spell:383648
462854,Skyfury,Wickedstorm,283489.197,SPELL_CAST_SUCCESS,spell:462854
462854,Skyfury,Wickedstorm,283489.197,SPELL_AURA_APPLIED,spell:462854
318038,Flametongue Weapon,,283485.814,SPELL_CAST_SUCCESS,spell:318038
33757,Windfury Weapon,,283483.931,SPELL_CAST_SUCCESS,spell:33757
470466,Stormblast,Wickedstorm,282281.163,SPELL_AURA_APPLIED,spell:470466
201846,Stormsurge,Wickedstorm,282281.047,SPELL_AURA_APPLIED,spell:201846
382889,Flurry,Wickedstorm,282281.047,SPELL_AURA_APPLIED,spell:382889
262652,Forceful Winds,Wickedstorm,282280.947,SPELL_AURA_APPLIED,spell:262652
382889,Flurry,Wickedstorm,282278.995,SPELL_AURA_APPLIED,spell:382889
382889,Flurry,Wickedstorm,282272.954,SPELL_AURA_APPLIED,spell:382889
382889,Flurry,Wickedstorm,282269.187,SPELL_AURA_APPLIED,spell:382889
448730,Authority of Radiant Power,Wickedstorm,282266.487,SPELL_AURA_APPLIED,spell:448730
262652,Forceful Winds,Wickedstorm,282264.387,SPELL_AURA_APPLIED,spell:262652
382889,Flurry,Wickedstorm,282241.021,SPELL_AURA_APPLIED,spell:382889
382889,Flurry,Wickedstorm,282229.821,SPELL_AURA_APPLIED,spell:382889
