spellId,spellName,dest,t,subevent,token
260881,Spirit Wolf,Wickedstorm,283587.646,SPELL_AURA_APPLIED,spell:260881
2645,Ghost Wolf,,283586.579,SPELL_CAST_SUCCESS,spell:2645
2645,Ghost Wolf,Wickedstorm,283586.579,SPELL_AURA_APPLIED,spell:2645
448730,Authority of Radiant Power,Wickedstorm,283575.678,SPELL_AURA_APPLIED,spell:448730
382889,Flurry,Wickedstorm,283574.862,SPELL_AURA_APPLIED,spell:382889
187874,Crash Lightning,,283574.013,SPELL_CAST_SUCCESS,spell:187874
262652,Forceful Winds,Wickedstorm,283574.013,SPELL_AURA_APPLIED,spell:262652
470466,Stormblast,Wickedstorm,283573.096,SPELL_AURA_APPLIED,spell:470466
201846,Stormsurge,Wickedstorm,283573.096,SPELL_AURA_APPLIED,spell:201846
382889,Flurry,Wickedstorm,283572.562,SPELL_AURA_APPLIED,spell:382889
344179,Maelstrom Weapon,Wickedstorm,283572.462,SPELL_AURA_APPLIED,spell:344179
17364,Stormstrike,PvP Training Dummy,283572.462,SPELL_CAST_SUCCESS,spell:17364
454025,Electroshock,Wickedstorm,283571.112,SPELL_AURA_APPLIED,spell:454025
454394,Unlimited Power,Wickedstorm,283571.112,SPELL_AURA_APPLIED,spell:454394
452201,Tempest,PvP Training Dummy,283571.112,SPELL_CAST_SUCCESS,spell:452201
17364,Stormstrike,PvP Training Dummy,283569.862,SPELL_CAST_SUCCESS,spell:17364
345228,Gladiator's Badge,,283568.912,SPELL_CAST_SUCCESS,spell:345228
345228,Gladiator's Badge,Wickedstorm,283568.912,SPELL_AURA_APPLIED,spell:345228
17364,Stormstrike,PvP Training Dummy,283567.729,SPELL_CAST_SUCCESS,spell:17364
470466,Stormblast,Wickedstorm,283566.762,SPELL_AURA_APPLIED,spell:470466
201846,Stormsurge,Wickedstorm,283566.762,SPELL_AURA_APPLIED,spell:201846
17364,Stormstrike,PvP Training Dummy,283566.512,SPELL_CAST_SUCCESS,spell:17364
454015,Tempest,Wickedstorm,283565.296,SPELL_AURA_APPLIED,spell:454015
462131,Awakening Storms,Wickedstorm,283565.196,SPELL_AURA_APPLIED,spell:462131
344179,Maelstrom Weapon,Wickedstorm,283565.196,SPELL_AURA_APPLIED,spell:344179
115356,Windstrike,PvP Training Dummy,283565.196,SPELL_CAST_SUCCESS,spell:115356
452201,Tempest,PvP Training Dummy,283565.196,SPELL_CAST_SUCCESS,spell:452201
452201,Tempest,,283565.196,SPELL_CAST_START,spell:452201
454025,Electroshock,Wickedstorm,283563.964,SPELL_AURA_APPLIED,spell:454025
344179,Maelstrom Weapon,Wickedstorm,283563.964,SPELL_AURA_APPLIED,spell:344179
115356,Windstrike,PvP Training Dummy,283563.964,SPELL_CAST_SUCCESS,spell:115356
333957,Feral Spirit,Wickedstorm,283563.964,SPELL_AURA_APPLIED,spell:333957
452201,Tempest,PvP Training Dummy,283563.964,SPELL_CAST_SUCCESS,spell:452201
470532,Arc Discharge,Wickedstorm,283563.964,SPELL_AURA_APPLIED,spell:470532
455089,Storm Swell,Wickedstorm,283563.964,SPELL_AURA_APPLIED,spell:455089
382889,Flurry,Wickedstorm,283563.046,SPELL_AURA_APPLIED,spell:382889
470466,Stormblast,Wickedstorm,283563.046,SPELL_AURA_APPLIED,spell:470466
201846,Stormsurge,Wickedstorm,283562.934,SPELL_AURA_APPLIED,spell:201846
454015,Tempest,Wickedstorm,283562.83,SPELL_AURA_APPLIED,spell:454015
1239315,Storm's Eye,Wickedstorm,283562.83,SPELL_AURA_APPLIED,spell:1239315
114051,Ascendance,Wickedstorm,283562.729,SPELL_AURA_APPLIED,spell:114051
17364,Stormstrike,PvP Training Dummy,283562.729,SPELL_CAST_SUCCESS,spell:17364
344179,Maelstrom Weapon,Wickedstorm,283560.946,SPELL_AURA_APPLIED,spell:344179
197209,Lightning Rod,PvP Training Dummy,283560.946,SPELL_AURA_APPLIED,spell:197209
384451,Legacy of the Frost Witch,Wickedstorm,283560.713,SPELL_AURA_APPLIED,spell:384451
188196,Lightning Bolt,PvP Training Dummy,283560.713,SPELL_CAST_SUCCESS,spell:188196
470466,Stormblast,Wickedstorm,283560.096,SPELL_AURA_APPLIED,spell:470466
201846,Stormsurge,Wickedstorm,283560.096,SPELL_AURA_APPLIED,spell:201846
17364,Stormstrike,PvP Training Dummy,283559.479,SPELL_CAST_SUCCESS,spell:17364
187874,Crash Lightning,,283558.229,SPELL_CAST_SUCCESS,spell:187874
262652,Forceful Winds,Wickedstorm,283558.229,SPELL_AURA_APPLIED,spell:262652
